Cell_Identity(CI),Downlink_Traffic,LAC,Duration,RAT,Uplink_Traffic,Latency,Throughput,Offloading_Decision
31471,5507,43061,0,1,842,5.696851,1114.475348,Edge Cloud
26624,52618,43041,3,1,2112,8.440118,6484.506496,Edge Cloud
26624,48168,43041,2,1,1547,7.737912,6424.859833,Edge Cloud
31471,0,43061,5,1,384,5,76.8,Mobile Device
47772,40,43041,0,1,64,0,1099823,Mobile Device
31471,1803,43061,0,1,874,5.523127,484.6891987,Edge Cloud
31471,0,43061,0,1,119,0,1099823,Mobile Device
11322,531,43041,0,1,153,34.971168,19.55896926,Edge Cloud
12311,1336,43016,197,1,6681,197,40.69543147,Mobile Device
21601,2920,43022,15,1,1190,20.16285,203.8402309,Edge Cloud
11322,0,43041,2,1,256,2,128,Mobile Device
31471,0,43061,3,1,320,3,106.6666667,Mobile Device
11322,0,43041,3,1,256,3,85.33333333,Mobile Device
11322,0,43041,2,1,192,2,96,Mobile Device
31471,0,43061,3,1,320,3,106.6666667,Mobile Device
10033,0,43018,0,1,1136,0,1099823,Mobile Device
45422,0,43024,0,1,434,0,1099823,Mobile Device
11322,0,43041,1,1,192,1,192,Mobile Device
20412,60,43026,0,1,112,0,1099823,Mobile Device
10262,0,43061,2,1,192,2,96,Mobile Device
11322,0,43041,0,1,128,0,1099823,Mobile Device
20412,52,43026,0,1,52,0,1099823,Mobile Device
26624,19215,43041,2,1,984,7.30012,2766.940817,Edge Cloud
20412,52,43026,0,1,52,0,1099823,Mobile Device
11322,0,43041,1,1,128,1,128,Mobile Device
1741,283,43010,0,1,70,5.002529,70.56430857,Edge Cloud
31471,0,43061,1,1,192,1,192,Mobile Device
11322,60,43041,2,1,232,2,146,Mobile Device
31471,0,43061,1,1,128,1,128,Mobile Device
10262,0,43061,0,1,64,0,1099823,Mobile Device
10262,52,43061,27,1,1294,27,49.85185185,Mobile Device
1741,0,43010,1,1,128,1,128,Mobile Device
11322,0,43041,0,1,227,0,1099823,Mobile Device
31471,0,43061,0,1,241,0,1099823,Mobile Device
31471,60,43061,3,1,296,3,118.6666667,Mobile Device
1741,0,43010,0,1,64,0,1099823,Mobile Device
10262,946,43061,0,1,812,5.190399,338.7022847,Edge Cloud
1741,60,43010,2,1,232,2,146,Mobile Device
26624,52,43041,1,1,325,1,377,Mobile Device
20412,0,43026,0,1,52,0,1099823,Mobile Device
11571,5365,43062,8,1,481,13.916326,420.0821395,Edge Cloud
1741,0,43010,0,1,52,0,1099823,Mobile Device
47772,8339,43041,29,1,1492,34.198002,287.4729348,Edge Cloud
11531,566,43010,0,1,140,35.191059,20.06191402,Edge Cloud
26624,32835,43041,2,1,1266,7.340087,4645.85774,Edge Cloud
45422,0,43024,257,1,3588,257,13.96108949,Mobile Device
45422,0,43024,257,1,3536,257,13.75875486,Mobile Device
11531,0,43010,2,1,192,2,96,Mobile Device
47982,60,43043,27,1,970,27,38.14814815,Mobile Device
10262,0,43061,2,1,192,2,96,Mobile Device
21601,80,43022,0,1,285,0,1099823,Mobile Device
11531,0,43010,0,1,64,0,1099823,Mobile Device
10262,40,43061,0,1,230,0,1099823,Mobile Device
10262,0,43061,0,1,64,0,1099823,Mobile Device
11531,60,43010,4,1,296,4,89,Mobile Device
31471,0,43061,0,1,52,0,1099823,Mobile Device
10262,0,43061,0,1,64,0,1099823,Mobile Device
11322,0,43041,0,1,1099,0,1099823,Mobile Device
20762,0,43050,0,1,965,0,1099823,Mobile Device
10033,92,43018,0,1,135,0,1099823,Mobile Device
31471,4357,43061,18,1,946,23.659131,224.1417912,Edge Cloud
47772,0,43041,0,1,1098,0,1099823,Mobile Device
50981,0,43022,0,1,241,0,1099823,Mobile Device
50981,0,43022,0,1,241,0,1099823,Mobile Device
11322,0,43041,0,1,223,0,1099823,Mobile Device
50981,60,43022,27,1,1196,27,46.51851852,Mobile Device
31471,0,43061,0,1,350,0,1099823,Mobile Device
10262,611,43061,16,1,1053,16,104,Mobile Device
26624,1064,43041,16,1,104,21.96971,53.1641064,Edge Cloud
31471,0,43061,0,1,40,0,1099823,Mobile Device
10041,302,43022,0,1,207,5.637343,90.29076286,Edge Cloud
26624,0,43041,0,1,40,0,1099823,Mobile Device
10041,81,43022,0,1,135,0,1099823,Mobile Device
26624,3408,43041,35,1,3904,35,208.9142857,Mobile Device
47772,268,43041,80,1,324,80,7.4,Mobile Device
47772,60,43041,1,1,144,1,204,Mobile Device
47772,956,43041,87,1,2726,87,42.32183908,Mobile Device
47772,60,43041,0,1,104,0,1099823,Mobile Device
12311,65,43016,0,1,40,5.502687,19.08158687,Edge Cloud
1741,0,43010,0,1,63,0,1099823,Mobile Device
47772,60,43041,0,1,104,0,1099823,Mobile Device
26624,52,43041,3,1,1099,3,383.6666667,Mobile Device
47772,489,43041,2,1,1079,2,784,Mobile Device
10262,0,43061,0,1,230,0,1099823,Mobile Device
31471,0,43061,0,1,40,0,1099823,Mobile Device
47772,164,43041,65,1,220,65,5.907692308,Mobile Device
10033,0,43018,0,1,250,0,1099823,Mobile Device
11322,0,43041,2,1,256,2,128,Mobile Device
26624,0,43041,0,1,227,0,1099823,Mobile Device
31471,0,43061,0,1,223,0,1099823,Mobile Device
45941,837,43027,65,1,1312,65,33.06153846,Mobile Device
10262,0,43061,0,1,230,0,1099823,Mobile Device
11322,0,43041,2,1,192,2,96,Mobile Device
31471,0,43061,0,1,52,0,1099823,Mobile Device
11322,0,43041,0,1,128,0,1099823,Mobile Device
1741,0,43010,0,1,1135,0,1099823,Mobile Device
1741,0,43010,0,1,241,0,1099823,Mobile Device
11322,0,43041,0,1,64,0,1099823,Mobile Device
10262,0,43061,0,1,241,0,1099823,Mobile Device
47772,0,43041,0,1,64,0,1099823,Mobile Device
47772,0,43041,0,1,52,0,1099823,Mobile Device
47772,2455,43041,0,1,4879,0,1099823,Mobile Device
45941,327,43027,0,1,40,5.288754,69.3925261,Edge Cloud
31471,614,43061,0,1,989,0,1099823,Mobile Device
10262,0,43061,7,1,448,7,64,Mobile Device
10262,0,43061,5,1,384,5,76.8,Mobile Device
31471,60,43061,39,1,696,39,19.38461538,Mobile Device
10262,0,43061,5,1,384,5,76.8,Mobile Device
1741,0,43010,0,1,241,0,1099823,Mobile Device
11322,0,43041,1,1,192,1,192,Mobile Device
10262,0,43061,4,1,384,4,96,Mobile Device
11322,0,43041,2,1,192,2,96,Mobile Device
31471,52,43061,0,1,104,0,1099823,Mobile Device
31471,52,43061,0,1,104,0,1099823,Mobile Device
31471,0,43061,0,1,235,0,1099823,Mobile Device
10262,0,43061,0,1,116,0,1099823,Mobile Device
10041,0,43022,15,1,80,15,5.333333333,Mobile Device
10041,84,43022,289,1,376,289,1.591695502,Mobile Device
11322,0,43041,0,1,64,0,1099823,Mobile Device
31471,52,43061,0,1,104,0,1099823,Mobile Device
11322,0,43041,0,1,64,0,1099823,Mobile Device
31471,52,43061,0,1,104,0,1099823,Mobile Device
31471,52,43061,0,1,104,0,1099823,Mobile Device
10262,1116,43061,0,1,321,5.509048,260.8436158,Edge Cloud
11322,0,43041,0,1,64,0,1099823,Mobile Device
11531,0,43010,1,1,128,1,128,Mobile Device
31471,52,43061,0,1,104,0,1099823,Mobile Device
62506,60,4187,0,2,112,0,1099823,Mobile Device
31471,0,43061,0,1,1099,0,1099823,Mobile Device
47772,2123,43041,11,1,2384,11,409.7272727,Mobile Device
20762,0,43050,3,1,420,3,140,Mobile Device
10262,0,43061,0,1,241,0,1099823,Mobile Device
26624,247,43041,0,1,265,0,1099823,Mobile Device
12311,100,43016,0,1,140,0,1099823,Mobile Device
20762,0,43050,2,1,120,2,60,Mobile Device
10262,52,43061,7,1,504,7,79.42857143,Mobile Device
10262,3297,43061,44,1,6522,44,223.1590909,Mobile Device
10262,246,43061,0,1,82,5.002574,65.5662465,Edge Cloud
47772,44,43041,0,1,104,0,1099823,Mobile Device
12311,109,43016,0,1,109,0,1099823,Mobile Device
10262,0,43061,0,1,235,0,1099823,Mobile Device
10262,0,43061,4,1,320,4,80,Mobile Device
1741,5104,43010,81,1,9263,81,177.3703704,Mobile Device
47772,515,43041,1,1,995,1,1510,Mobile Device
10262,0,43061,3,1,320,3,106.6666667,Mobile Device
12311,0,43016,1,1,120,1,120,Mobile Device
1741,7617,43010,45,1,7757,45,341.6444444,Mobile Device
10262,0,43061,1,1,192,1,192,Mobile Device
10033,0,43018,0,1,242,0,1099823,Mobile Device
26624,386,43041,1,1,390,1,776,Mobile Device
10262,3789,43061,35,1,5064,35,252.9428571,Mobile Device
11531,60,43010,36,1,1437,36,41.58333333,Mobile Device
26624,565,43041,1,1,1135,1,1700,Mobile Device
31471,0,43061,0,1,40,0,1099823,Mobile Device
10262,0,43061,0,1,128,0,1099823,Mobile Device
11571,0,43062,0,1,52,0,1099823,Mobile Device
47772,0,43041,0,1,64,0,1099823,Mobile Device
10262,0,43061,0,1,64,0,1099823,Mobile Device
10262,0,43061,2,1,192,2,96,Mobile Device
10262,0,43061,0,1,64,0,1099823,Mobile Device
47772,0,43041,0,1,40,0,1099823,Mobile Device
10262,0,43061,1,1,128,1,128,Mobile Device
10262,0,43061,1,1,128,1,128,Mobile Device
21601,1937,43022,5,1,780,10.884351,249.6244379,Edge Cloud
10262,60,43061,0,1,104,0,1099823,Mobile Device
26624,0,43041,2,1,192,2,96,Mobile Device
10262,0,43061,0,1,64,0,1099823,Mobile Device
12721,0,43014,0,1,112,0,1099823,Mobile Device
31471,0,43061,0,1,52,0,1099823,Mobile Device
26624,0,43041,0,1,128,0,1099823,Mobile Device
10262,7719,43061,13,1,2197,18.560462,534.2539426,Edge Cloud
21601,120,43022,18,1,638,18,42.11111111,Mobile Device
21601,427,43022,0,1,678,0,1099823,Mobile Device
26246,3047,4189,1351,2,4195,1351,5.360473723,Mobile Device
45193,2663,43046,0,1,866,5.296104,666.3388785,Edge Cloud
45193,11651,43046,0,1,1106,5.384211,2369.33508,Edge Cloud
45193,479,43046,0,1,1069,0,1099823,Mobile Device
45741,283,43024,0,1,130,5.005176,82.51458091,Edge Cloud
45741,1493,43024,0,1,786,5.23383,435.4363822,Edge Cloud
45741,492,43024,0,1,695,0,1099823,Mobile Device
45193,11783,43046,0,1,1158,5.410105,2392.005331,Edge Cloud
742,285,43042,0,1,71,5.002707,71.16147318,Edge Cloud
50981,0,43022,0,1,40,0,1099823,Mobile Device
45193,1112,43046,13,1,1811,13,224.8461538,Mobile Device
10041,96,43022,19,1,160,19,13.47368421,Mobile Device
45193,1091,43046,14,1,694,19.76851,90.29512088,Edge Cloud
742,0,43042,0,1,255,0,1099823,Mobile Device
46361,878,43011,160,1,1350,160,13.925,Mobile Device
11882,0,43011,0,1,241,0,1099823,Mobile Device
11882,0,43011,14,1,496,14,35.42857143,Mobile Device
11882,704,43011,0,1,312,5.006163,202.949844,Edge Cloud
742,0,43042,0,1,255,0,1099823,Mobile Device
47135,1290,43061,0,1,848,5.219951,409.5823888,Edge Cloud
45193,5288,43046,0,1,1992,5.842175,1246.111251,Edge Cloud
50981,0,43022,0,1,1099,0,1099823,Mobile Device
45193,495,43046,0,1,720,0,1099823,Mobile Device
50981,7938,43022,0,1,808,5.277977,1657.074292,Edge Cloud
12311,86,43016,0,1,86,0,1099823,Mobile Device
45193,2423,43046,0,1,866,5.196279,632.9529265,Edge Cloud
12311,57,43016,0,1,109,0,1099823,Mobile Device
45193,0,43046,14,1,300,14,21.42857143,Mobile Device
45193,479,43046,0,1,769,0,1099823,Mobile Device
45193,3297,43046,20,1,606,25.360593,153.9001868,Edge Cloud
45193,495,43046,0,1,721,0,1099823,Mobile Device
11322,538,43041,221,1,1330,221,8.452488688,Mobile Device
45193,1735,43046,0,1,866,5.302335,490.5386023,Edge Cloud
45193,2295,43046,0,1,732,5.292402,571.9520173,Edge Cloud
50771,56,43046,0,1,144,0,1099823,Mobile Device
45193,495,43046,0,1,721,0,1099823,Mobile Device
45193,1735,43046,0,1,866,5.191762,500.9859851,Edge Cloud
21601,1274,43022,0,1,473,7.894862,221.2831586,Edge Cloud
11322,0,43041,0,1,40,0,1099823,Mobile Device
50771,185,43046,0,1,413,0,1099823,Mobile Device
47135,0,43061,0,1,40,0,1099823,Mobile Device
45741,40,43024,0,1,241,0,1099823,Mobile Device
20202,116,43041,0,1,68,5.002695,36.78017549,Edge Cloud
62506,2538,4187,8,2,1457,13.510153,295.703535,Edge Cloud
47135,0,43061,0,1,241,0,1099823,Mobile Device
26916,179,4189,0,2,60,5.00547,47.74776395,Edge Cloud
742,0,43042,0,1,40,0,1099823,Mobile Device
45193,1574,43046,0,1,740,26.341559,87.84597753,Edge Cloud
45193,757,43046,30,1,482,35.385825,35.01402044,Edge Cloud
10752,711,43018,1082,1,973,1082,1.556377079,Mobile Device
45193,0,43046,0,1,60,0,1099823,Mobile Device
10041,353,43022,206,1,589,206,4.572815534,Mobile Device
45193,524,43046,0,1,722,0,1099823,Mobile Device
10041,184,43022,0,1,125,6.666913,46.34828743,Edge Cloud
10041,314,43022,0,1,288,5.16512,116.5510191,Edge Cloud
10041,1247,43022,0,1,1372,0,1099823,Mobile Device
50981,0,43022,0,1,52,0,1099823,Mobile Device
10041,0,43022,1,1,120,1,120,Mobile Device
11322,0,43041,0,1,40,0,1099823,Mobile Device
11322,1051,43041,31,1,663,36.402111,47.08518141,Edge Cloud
50981,9035,43022,1,1,769,6.613787,1482.357989,Edge Cloud
50981,13928,43022,0,1,925,5.57402,2664.683657,Edge Cloud
10752,1464,43018,2,1,180,7.417435,221.6399604,Edge Cloud
50981,0,43022,0,1,176,0,1099823,Mobile Device
21601,128,43022,12,1,180,12,25.66666667,Mobile Device
21601,128,43022,12,1,180,12,25.66666667,Mobile Device
21601,128,43022,12,1,180,12,25.66666667,Mobile Device
21601,128,43022,11,1,180,11,28,Mobile Device
21601,128,43022,14,1,180,14,22,Mobile Device
21601,132,43022,14,1,180,14,22.28571429,Mobile Device
21601,128,43022,14,1,180,14,22,Mobile Device
21601,132,43022,12,1,180,12,26,Mobile Device
20202,40,43041,0,1,241,0,1099823,Mobile Device
50981,7019,43022,0,1,728,5.300064,1461.680463,Edge Cloud
932,8591,43028,75,1,12547,75,281.84,Mobile Device
26916,770,4189,4,2,1020,4,447.5,Mobile Device
11322,242,43041,1,1,173,6.952922,59.68713585,Edge Cloud
742,100,43042,31,1,1188,31,41.5483871,Mobile Device
45193,8152,43046,0,1,1030,5.407988,1697.858797,Edge Cloud
45193,7046,43046,0,1,950,5.290205,1511.472618,Edge Cloud
45193,1587,43046,0,1,677,5.232295,432.6973154,Edge Cloud
50981,7672,43022,0,1,809,5.325204,1592.615043,Edge Cloud
50981,8210,43022,0,1,809,5.32987,1692.161347,Edge Cloud
45193,5583,43046,0,1,799,5.370086,1188.435343,Edge Cloud
11882,0,43011,0,1,48,0,1099823,Mobile Device
45193,2295,43046,0,1,638,5.383776,544.7849242,Edge Cloud
50981,11782,43022,0,1,888,5.360001,2363.805529,Edge Cloud
50981,5550,43022,0,1,728,5.276075,1189.899689,Edge Cloud
50981,843,43022,0,1,258,27.114896,40.60498702,Edge Cloud
50981,11269,43022,0,1,809,5.330059,2266.016192,Edge Cloud
50981,12607,43022,0,1,889,5.386109,2505.704953,Edge Cloud
50981,12901,43022,0,1,847,5.390083,2550.610074,Edge Cloud
11322,113,43041,0,1,63,5.005055,35.16444874,Edge Cloud
50981,12205,43022,0,1,848,5.380058,2426.182023,Edge Cloud
50981,0,43022,2,1,192,2,96,Mobile Device
50981,0,43022,1,1,128,1,128,Mobile Device
45193,7053,43046,1,1,1471,6.308064,1351.286227,Edge Cloud
50981,3403,43022,0,1,729,5.354031,771.7549637,Edge Cloud
50981,0,43022,1,1,128,1,128,Mobile Device
50981,6859,43022,0,1,769,5.310099,1436.508058,Edge Cloud
50981,8155,43022,0,1,809,5.29983,1691.375006,Edge Cloud
50981,14339,43022,0,1,929,5.347982,2854.908637,Edge Cloud
50981,0,43022,1,1,128,1,128,Mobile Device
50981,8809,43022,0,1,809,5.397729,1781.860482,Edge Cloud
45193,6244,43046,0,1,1368,5.870087,1296.743984,Edge Cloud
50981,0,43022,1,1,128,1,128,Mobile Device
50981,12469,43022,0,1,889,5.338178,2502.351926,Edge Cloud
50981,0,43022,0,1,64,0,1099823,Mobile Device
50981,0,43022,0,1,64,0,1099823,Mobile Device
45193,3117,43046,0,1,678,5.418004,700.4424508,Edge Cloud
45193,2161,43046,0,1,642,5.478117,511.6721676,Edge Cloud
45193,3138,43046,0,1,680,5.445842,701.0853418,Edge Cloud
45193,6049,43046,0,1,799,5.384249,1271.857969,Edge Cloud
45193,2891,43046,0,1,679,5.328033,670.040895,Edge Cloud
45193,3609,43046,0,1,720,5.369998,806.1455516,Edge Cloud
45193,4967,43046,0,1,719,5.329955,1066.800752,Edge Cloud
45193,66987,43046,51,1,4279,56.277186,1266.339081,Edge Cloud
45193,51511,43046,50,1,3177,55.987846,976.7834255,Edge Cloud
45193,66672,43046,51,1,3686,56.24389,1250.944769,Edge Cloud
45193,6893,43046,29,1,896,34.99245,222.5908732,Edge Cloud
45193,53622,43046,51,1,2737,56.081654,1004.945396,Edge Cloud
45193,0,43046,0,1,60,0,1099823,Mobile Device
47135,155,43061,0,1,75,5.002847,45.97382251,Edge Cloud
45193,1263,43046,18,1,879,23.130564,92.60474582,Edge Cloud
26916,2733,4189,42,2,25607,42,674.7619048,Mobile Device
45193,664,43046,54,1,815,54,27.38888889,Mobile Device
12311,475,43016,3,1,1371,3,615.3333333,Mobile Device
17541,542,53533,135,1,1653,135,16.25925926,Mobile Device
47135,5667,43061,1,1,1367,6.239971,1127.248829,Edge Cloud
45741,8481,43024,152,1,3836,157.359822,78.27283892,Edge Cloud
20202,0,43041,0,1,1099,0,1099823,Mobile Device
12311,86,43016,0,1,86,0,1099823,Mobile Device
26916,2298,4189,1016,2,2970,1016,5.18503937,Mobile Device
12311,191,43016,0,1,155,5.055925,68.43455945,Edge Cloud
12311,91,43016,0,1,59,5.002634,29.98420432,Edge Cloud
12311,42,43016,0,1,82,0,1099823,Mobile Device
50981,0,43022,0,1,350,0,1099823,Mobile Device
45193,0,43046,15,1,300,15,20,Mobile Device
45193,3778,43046,29,1,775,34.528873,131.8606605,Edge Cloud
45193,19734,43046,29,1,1506,34.549067,614.7778173,Edge Cloud
50981,15597,43022,2,1,1080,7.257976,2297.748022,Edge Cloud
932,52,43028,3,1,556,3,202.6666667,Mobile Device
10752,0,43018,0,1,60,0,1099823,Mobile Device
10752,75,43018,0,1,191,0,1099823,Mobile Device
47135,1346,43061,0,1,868,5.184881,427.0107646,Edge Cloud
47135,0,43061,0,1,241,0,1099823,Mobile Device
10752,234,43018,1,1,277,1,511,Mobile Device
50981,12977,43022,0,1,848,5.405936,2557.373968,Edge Cloud
11322,920,43041,19,1,1579,19,131.5263158,Mobile Device
10752,192,43018,1,1,296,1,488,Mobile Device
47135,1346,43061,0,1,868,5.304547,417.3777704,Edge Cloud
26916,170812,4189,1038,2,69106,1043.83077,229.8437706,Edge Cloud
11322,337,43041,65,1,447,65,12.06153846,Mobile Device
50981,290,43022,0,1,1033,0,1099823,Mobile Device
20412,75,43026,0,1,190,0,1099823,Mobile Device
12311,0,43016,16,1,104,16,6.5,Mobile Device
20412,42,43026,0,1,82,0,1099823,Mobile Device
10752,83,43018,0,1,128,0,1099823,Mobile Device
10752,158,43018,0,1,62,5.002627,43.97689454,Edge Cloud
50981,49697,43022,2,1,1434,7.236096,7066.103048,Edge Cloud
10041,0,43022,0,1,40,0,1099823,Mobile Device
50981,0,43022,19,1,544,19,28.63157895,Mobile Device
10752,277,43018,0,1,347,0,1099823,Mobile Device
10752,0,43018,0,1,60,0,1099823,Mobile Device
10041,2622,43022,0,1,638,5.157733,632.0606359,Edge Cloud
10041,541,43022,0,1,263,46.945178,17.1263596,Edge Cloud
361,0,43016,0,1,241,0,1099823,Mobile Device
10041,1091,43022,0,1,753,5.339987,345.3191927,Edge Cloud
21601,1685,43022,8,1,1074,13.454066,205.0681184,Edge Cloud
26624,10563,43041,33,1,5482,64.907553,247.1977337,Edge Cloud
10041,0,43022,27,1,240,27,8.888888889,Mobile Device
47772,0,43041,0,1,40,0,1099823,Mobile Device
47772,0,43041,0,1,40,0,1099823,Mobile Device
45701,4692,43061,138,1,2808,143.067475,52.42281658,Edge Cloud
20762,0,43050,80,1,960,80,12,Mobile Device
26624,208,43041,18,1,104,23.608623,13.21551028,Edge Cloud
47772,0,43041,0,1,40,0,1099823,Mobile Device
12311,0,43016,0,1,40,0,1099823,Mobile Device
10262,1103,43061,0,1,523,8.096182,200.8354061,Edge Cloud
26624,0,43041,0,1,241,0,1099823,Mobile Device
10262,0,43061,0,1,64,0,1099823,Mobile Device
10262,0,43061,0,1,64,0,1099823,Mobile Device
21601,0,43022,0,1,60,0,1099823,Mobile Device
361,0,43016,0,1,241,0,1099823,Mobile Device
10262,1126,43061,0,1,687,5.263669,344.4365518,Edge Cloud
10262,0,43061,1,1,128,1,128,Mobile Device
10262,1899,43061,0,1,936,5.202368,544.9441485,Edge Cloud
10262,1883,43061,0,1,735,5.162374,507.1310215,Edge Cloud
11141,0,43016,0,1,1099,0,1099823,Mobile Device
11141,3237,43016,0,1,401,5.640312,644.9997802,Edge Cloud
47772,0,43041,0,1,267,0,1099823,Mobile Device
10262,9176,43061,2,1,807,7.303911,1366.801978,Edge Cloud
10262,2263,43061,0,1,632,5.623019,514.8479847,Edge Cloud
10262,0,43061,0,1,1099,0,1099823,Mobile Device
21603,52,43021,60,1,990,60,17.36666667,Mobile Device
33053,0,43049,0,1,60,0,1099823,Mobile Device
11141,0,43016,0,1,241,0,1099823,Mobile Device
10262,495,43061,0,1,827,0,1099823,Mobile Device
21603,0,43021,0,1,231,0,1099823,Mobile Device
10262,1911,43061,0,1,936,5.228909,544.473044,Edge Cloud
10752,0,43018,9,1,180,9,20,Mobile Device
47772,0,43041,0,1,267,0,1099823,Mobile Device
10041,318,43022,2,1,300,7.194531,85.89858046,Edge Cloud
20993,635,43059,140,1,669,140,9.314285714,Mobile Device
21603,0,43021,0,1,52,0,1099823,Mobile Device
10752,0,43018,0,1,52,0,1099823,Mobile Device
10041,172,43022,0,1,228,0,1099823,Mobile Device
10041,52,43022,0,1,147,0,1099823,Mobile Device
10262,495,43061,0,1,775,0,1099823,Mobile Device
10041,303,43022,0,1,482,0,1099823,Mobile Device
10262,1911,43061,0,1,884,5.170025,540.6163413,Edge Cloud
47772,531,43041,0,1,153,34.51463,19.81768311,Edge Cloud
47772,0,43041,1,1,192,1,192,Mobile Device
10262,535,43061,0,1,827,0,1099823,Mobile Device
47772,0,43041,1,1,128,1,128,Mobile Device
10262,1911,43061,0,1,884,5.170142,540.6041072,Edge Cloud
21601,1275,43022,0,1,410,5.671443,297.1025187,Edge Cloud
47772,0,43041,0,1,64,0,1099823,Mobile Device
33053,75,43049,0,1,190,0,1099823,Mobile Device
47772,0,43041,0,1,64,0,1099823,Mobile Device
10262,0,43061,0,1,223,0,1099823,Mobile Device
47772,0,43041,0,1,40,0,1099823,Mobile Device
47772,0,43041,0,1,40,0,1099823,Mobile Device
10262,495,43061,0,1,827,0,1099823,Mobile Device
10262,1911,43061,0,1,936,5.239899,543.3310833,Edge Cloud
11571,285,43062,0,1,71,5.002746,71.16091842,Edge Cloud
11571,0,43062,1,1,128,1,128,Mobile Device
10262,5010,43061,19,1,1901,24.680612,280.0173675,Edge Cloud
12311,57,43016,0,1,109,0,1099823,Mobile Device
12311,905,43016,6,1,1358,6,377.1666667,Mobile Device
12311,42,43016,0,1,82,0,1099823,Mobile Device
45941,0,43027,0,1,40,0,1099823,Mobile Device
45941,0,43027,0,1,40,0,1099823,Mobile Device
45941,0,43027,0,1,60,0,1099823,Mobile Device
20412,574,43026,4299,1,654,4299,0.285647825,Mobile Device
361,60,43016,39,1,1373,39,36.74358974,Mobile Device
10262,4422,43061,26,1,4796,26,354.5384615,Mobile Device
10262,60,43061,27,1,1373,27,53.07407407,Mobile Device
10752,0,43018,0,1,60,0,1099823,Mobile Device
10262,52,43061,27,1,392,27,16.44444444,Mobile Device
10262,0,43061,2,1,208,2,104,Mobile Device
10262,0,43061,2,1,208,2,104,Mobile Device
10262,0,43061,3,1,200,3,66.66666667,Mobile Device
10041,1016,43022,1,1,2052,1,3068,Mobile Device
10041,0,43022,0,1,40,0,1099823,Mobile Device
12311,166,43016,6,1,153,11.506253,27.72405578,Edge Cloud
21601,1134,43022,17,1,716,22.021297,84.00958399,Edge Cloud
12311,0,43016,0,1,40,0,1099823,Mobile Device
45701,52,43061,133,1,1618,133,12.55639098,Mobile Device
47772,0,43041,0,1,40,0,1099823,Mobile Device
47772,0,43041,2,1,256,2,128,Mobile Device
11531,283,43010,0,1,70,5.002964,70.55817311,Edge Cloud
47772,0,43041,1,1,192,1,192,Mobile Device
11531,0,43010,5,1,384,5,76.8,Mobile Device
12311,319,43016,0,1,307,5.088948,123.0116716,Edge Cloud
12311,42,43016,0,1,82,0,1099823,Mobile Device
47772,0,43041,0,1,128,0,1099823,Mobile Device
11531,0,43010,5,1,384,5,76.8,Mobile Device
47772,0,43041,0,1,128,0,1099823,Mobile Device
47772,0,43041,0,1,128,0,1099823,Mobile Device
47772,0,43041,0,1,128,0,1099823,Mobile Device
47772,0,43041,0,1,64,0,1099823,Mobile Device
47772,3297,43041,32,1,1420,37.716737,125.063841,Edge Cloud
11531,0,43010,2,1,256,2,128,Mobile Device
11531,0,43010,2,1,192,2,96,Mobile Device
47772,0,43041,0,1,40,0,1099823,Mobile Device
11571,0,43062,3,1,256,3,85.33333333,Mobile Device
11531,0,43010,0,1,128,0,1099823,Mobile Device
12311,19877,43016,1007,1,14483,1012.209622,33.94553781,Edge Cloud
11571,0,43062,2,1,192,2,96,Mobile Device
11531,0,43010,0,1,64,0,1099823,Mobile Device
45941,464,43027,827,1,970,827,1.733978235,Mobile Device
45941,850,43027,600,1,709,605.108402,2.576397873,Edge Cloud
11571,0,43062,0,1,128,0,1099823,Mobile Device
26624,0,43041,0,1,227,0,1099823,Mobile Device
26624,0,43041,1,1,128,1,128,Mobile Device
45941,250,43027,0,1,68,5.004229,63.54625258,Edge Cloud
26624,0,43041,0,1,64,0,1099823,Mobile Device
26624,0,43041,3,1,256,3,85.33333333,Mobile Device
11531,0,43010,0,1,1099,0,1099823,Mobile Device
26624,0,43041,3,1,320,3,106.6666667,Mobile Device
26624,60,43041,1,1,168,1,228,Mobile Device
26624,0,43041,2,1,256,2,128,Mobile Device
26624,0,43041,2,1,192,2,96,Mobile Device
26624,0,43041,1,1,192,1,192,Mobile Device
26624,0,43041,1,1,128,1,128,Mobile Device
11571,60,43062,35,1,1373,35,40.94285714,Mobile Device
26624,0,43041,1,1,128,1,128,Mobile Device
361,0,43016,0,1,40,0,1099823,Mobile Device
26624,0,43041,0,1,64,0,1099823,Mobile Device
26624,0,43041,0,1,64,0,1099823,Mobile Device
26624,60,43041,0,1,104,0,1099823,Mobile Device
12311,0,43016,0,1,40,0,1099823,Mobile Device
47772,177390,43041,963,1,136238,968.377171,323.8696754,Edge Cloud
26624,0,43041,0,1,52,0,1099823,Mobile Device
361,0,43016,0,1,241,0,1099823,Mobile Device
14582,1483,43013,1,1,1701,1,3184,Mobile Device
14582,52,43013,0,1,104,0,1099823,Mobile Device
14582,52,43013,0,1,104,0,1099823,Mobile Device
14582,52,43013,0,1,104,0,1099823,Mobile Device
14582,423,43013,0,1,961,0,1099823,Mobile Device
14582,438,43013,0,1,1053,0,1099823,Mobile Device
14582,472,43013,0,1,966,0,1099823,Mobile Device
14582,698,43013,0,1,956,0,1099823,Mobile Device
14582,423,43013,0,1,966,0,1099823,Mobile Device
14582,423,43013,0,1,641,0,1099823,Mobile Device
